#A,B,Weight
946,18538,1
946,18901,1
946,10532,1
946,12171,2
946,10670,1
946,15757,2
946,5066,1
946,733,1
946,13371,1
946,9586,3
946,768,1
946,4861,4
6205,13612,1
6205,15222,2
6205,291,2
6205,18538,1
6205,18901,1
6205,10532,1
6205,12171,1
6205,10670,1
6205,15757,1
6205,5066,2
6205,733,1
6205,13371,1
6205,9586,1
6205,768,1
6205,4861,13
13612,291,1
13612,18538,1
13612,18901,1
13612,10532,1
13612,12171,1
13612,10670,1
13612,15757,1
13612,5066,1
13612,733,1
13612,13371,1
13612,9586,1
13612,768,1
13612,4861,1
15222,18538,1
15222,10532,1
15222,12171,10
15222,10670,3
15222,15757,2
15222,5066,1
15222,9586,1
15222,768,4
291,18538,1
291,18901,1
291,10532,1
291,12171,1
291,10670,1
291,15757,1
291,5066,1
291,733,1
291,13371,1
291,9586,2
291,768,1
18538,18901,1
18538,10532,1
18538,12171,1
18538,10670,1
18538,15757,1
18538,5066,1
18538,733,1
18538,13371,1
18538,9586,1
18538,768,1
18538,4861,1
18901,10532,1
18901,12171,1
18901,10670,1
18901,15757,1
18901,5066,1
18901,733,1
18901,13371,1
18901,9586,1
18901,768,1
18901,4861,1
10532,12171,1
10532,10670,1
10532,15757,1
10532,5066,1
10532,733,1
10532,13371,1
10532,9586,1
10532,768,1
10532,4861,1
12171,10670,1
12171,15757,2
12171,5066,1
12171,733,2
12171,13371,1
12171,9586,1
12171,768,1
12171,4861,8
10670,15757,1
10670,5066,1
10670,733,1
10670,13371,1
10670,9586,1
10670,768,1
10670,4861,1
15757,733,1
15757,13371,1
15757,9586,1
15757,768,1
15757,4861,4
5066,733,1
5066,13371,1
5066,9586,1
5066,768,1
5066,4861,1
733,13371,1
733,9586,1
733,768,1
733,4861,1
13371,9586,1
13371,4861,1
9586,768,1
9586,4861,3
768,4861,1
13024,3138,1
13024,17245,1
5634,3138,2
5634,10235,5
3512,3138,1
3512,17245,1
3138,17245,1
3138,10235,2
3138,15222,1
17245,10235,3
17245,17086,1
10235,15222,3
4573,19347,3
4573,8972,1
4573,16362,1
4573,9708,3
4573,8648,1
4573,6957,2
4573,4216,2
4573,1681,9
19347,19011,2
19347,1504,1
19347,8972,1
19347,11730,1
19347,16362,1
19347,9708,1
19347,8648,1
19347,110,1
19347,1784,1
19347,6957,1
19347,17173,1
19347,4216,1
19347,1681,1
19347,7789,1
19011,8972,1
19011,11730,2
19011,16362,1
19011,8648,1
19011,6957,1
19011,17173,9
19011,4647,14
1504,8972,2
1504,11730,2
1504,16362,1
1504,8648,2
1504,19139,1
1504,1733,1
8972,11730,1
8972,16362,1
8972,9708,1
8972,8648,1
8972,110,1
8972,6957,1
8972,17173,1
8972,19139,1
8972,4216,1
8972,19161,1
8972,1733,1
8972,1681,1
8972,4647,1
8972,7789,1
8972,19336,1
11730,16362,1
11730,9708,1
11730,8648,1
11730,110,1
11730,1784,10
11730,6957,2
11730,17173,1
11730,19139,1
11730,4216,1
11730,1733,1
11730,19336,4
16362,9708,1
16362,8648,1
16362,110,1
16362,1784,1
16362,6957,1
16362,17173,1
16362,19139,1
16362,4216,1
16362,19161,1
16362,1733,1
16362,1681,1
16362,4647,1
16362,7789,1
16362,19336,1
9708,8648,1
9708,6957,2
9708,17173,3
9708,19139,1
9708,1733,2
9708,1681,1
8648,110,1
8648,1784,1
8648,6957,1
8648,17173,1
8648,19139,1
8648,4216,1
8648,19161,1
8648,1733,1
8648,1681,1
8648,4647,1
8648,7789,1
8648,19336,1
110,6957,1
110,19139,1
110,4216,2
110,19161,8
110,1733,1
110,1681,2
110,7789,2
1784,6957,4
1784,19139,1
1784,1733,1
1784,7789,8
6957,17173,1
6957,19139,1
6957,4216,1
6957,1733,1
6957,4647,1
6957,7789,1
6957,19336,1
17173,19139,1
17173,19161,2
17173,1733,1
17173,1681,2
17173,19336,5
19139,4216,1
19139,19161,1
19139,1681,1
19139,4647,3
19139,7789,1
19139,19336,3
4216,19161,3
4216,1733,1
4216,1681,1
4216,4647,2
19161,1733,1
1733,1681,1
1733,4647,3
1733,7789,1
1733,19336,3
1681,7789,1
2501,9304,1
19298,9304,1
9304,6162,1
9942,16853,2
9942,14558,1
9942,824,1
9942,16226,2
9942,4039,1
16853,14558,1
16853,4429,1
16853,824,1
16853,16226,2
16853,4039,1
14558,4429,1
14558,824,1
14558,16226,1
14558,4039,1
4429,824,1
824,16226,1
824,4039,1
16226,4039,1
17740,10918,1
17740,11577,1
17740,14655,2
17740,10619,30
17740,1034,1
17740,17894,1
17740,15370,1
17740,6338,14
17740,4661,1
17740,2459,1
17740,17142,1
17740,5275,1
17740,407,1
10918,103,1
10918,11577,1
10918,14655,1
10918,10619,1
10918,1034,1
10918,5944,1
10918,17894,2
10918,4732,1
10918,15370,1
10918,6338,1
10918,4661,1
10918,2459,1
10918,17142,1
10918,5275,1
10918,407,1
103,11577,1
103,1034,1
103,17894,1
103,15370,1
103,4661,1
103,2459,1
103,17142,1
103,5275,1
103,407,1
11577,14655,1
11577,10619,2
11577,1034,1
11577,5944,1
11577,17894,1
11577,4732,1
11577,15370,1
11577,6338,1
11577,4661,1
11577,2459,1
11577,17142,1
11577,5275,1
11577,407,1
14655,10619,22
14655,5944,18
14655,15370,1
14655,6338,4
14655,4661,1
14655,2459,1
14655,17142,1
14655,5275,1
14655,407,1
10619,1034,1
10619,17894,1
10619,15370,1
10619,4661,1
10619,2459,1
10619,17142,1
10619,5275,1
10619,407,1
1034,5944,2
1034,4732,1
1034,15370,1
1034,6338,1
1034,4661,1
1034,2459,1
1034,17142,1
1034,5275,1
1034,407,1
5944,4732,2
5944,15370,2
5944,4661,1
5944,2459,1
5944,17142,1
5944,5275,1
5944,407,1
17894,4732,1
17894,15370,1
17894,6338,1
17894,4661,1
17894,2459,1
17894,17142,1
17894,5275,1
17894,407,1
4732,15370,1
4732,4661,1
4732,2459,1
4732,17142,1
4732,5275,1
4732,407,1
15370,6338,1
15370,4661,1
15370,2459,1
15370,17142,1
15370,5275,1
15370,407,1
6338,4661,1
6338,2459,1
6338,17142,1
6338,5275,1
6338,407,1
4661,2459,1
4661,17142,1
4661,5275,1
4661,407,1
2459,17142,1
2459,5275,1
2459,407,1
17142,5275,1
17142,407,1
5275,407,1
3661,2827,1
3661,3499,1
3661,7366,2
3661,13357,1
3661,14094,1
8220,3499,1
8220,13357,1
8220,14094,1
2827,3499,1
2827,7366,1
2827,14094,1
3499,7366,1
3499,13357,1
3499,14094,1
7366,14094,1
13357,14094,1
4280,3098,1
4280,10818,1
4280,2690,1
10211,3098,1
10211,10818,1
10211,2690,1
7366,3098,1
7366,10818,1
7366,2690,1
3098,10818,1
3098,2690,1
10818,2690,1
3076,14784,1
3076,3190,6
3076,216,1
3076,5850,3
3076,5550,2
3076,1134,7
10960,14784,1
10960,13728,1
10960,3190,2
10960,216,1
10960,5850,1
10960,5550,2
10960,1134,3
4515,14784,1
4515,13728,1
4515,3190,2
4515,216,1
4515,5850,1
4515,5550,2
4515,1134,3
14784,16340,1
14784,13728,1
14784,3190,1
14784,216,1
14784,5850,1
14784,5550,1
14784,1134,1
16340,13728,1
16340,3190,1
16340,216,1
16340,5850,2
16340,5550,1
16340,1134,1
13728,216,1
13728,5850,1
3190,216,1
3190,5850,1
216,5850,1
216,5550,1
216,1134,1
5850,5550,1
5550,1134,10
18635,10848,1
18635,3991,1
18635,18150,2
3345,10848,17
3345,7186,2
3345,18150,1
10848,7186,1
10848,18150,1
3991,7186,1
3991,18150,1
7186,18150,1
617,9137,2
617,10235,3
617,10816,1
617,1281,1
617,12170,3
10213,9137,1
10213,10235,2
10213,14655,2
10213,10816,1
10213,1281,1
10213,12170,2
9137,14655,2
9137,10816,1
9137,1281,1
9137,12170,1
10235,10816,1
10235,1281,1
14655,10816,1
14655,1281,1
14655,12170,2
10816,1281,1
10816,12170,1
5511,9666,1
5511,446,1
5511,19049,1
9666,19049,1
446,19049,1
3014,2238,7
3014,954,26
2238,123,3
954,123,2
14642,123,9
3944,10265,1
3944,2705,1
3944,2253,1
3944,14302,1
3944,12907,1
3944,16116,1
10265,2705,1
10265,2253,1
10265,4344,1
10265,14302,1
10265,12801,2
10265,12907,1
10265,16116,1
10265,11240,1
2705,2253,1
2705,4344,1
2705,14302,1
2705,12907,1
2705,16116,1
2705,11240,1
2253,4344,1
2253,14302,1
2253,12801,1
2253,6392,1
2253,12907,1
2253,16116,1
2253,11240,1
4344,14302,2
4344,12801,8
4344,6392,7
4344,12907,1
4344,16116,1
14302,12801,4
14302,6392,4
14302,12907,1
14302,16116,2
14302,11240,1
12801,6392,43
12801,16116,3
12801,11240,5
6392,16116,2
6392,11240,4
12907,16116,1
12907,11240,1
16116,11240,1
12157,18154,3
12157,4887,3
12157,10684,1
12157,16215,1
12157,13402,6
12157,10877,1
12157,1158,1
12157,6017,1
18154,10684,1
18154,16215,1
18154,14849,2
18154,10877,1
18154,1158,1
18154,6017,1
10908,10684,1
10908,16215,2
10908,10877,1
10908,1158,1
10908,6017,1
4887,10684,1
4887,16215,1
4887,17875,1
4887,10877,1
4887,1158,1
4887,6017,1
10684,16215,2
10684,13402,1
10684,14849,1
10684,17875,1
10684,10877,1
10684,1158,1
16215,13402,1
16215,14849,1
16215,17875,1
16215,10877,1
16215,1158,1
16215,6017,1
13402,14849,6
13402,17875,11
13402,10877,1
13402,1158,1
13402,6017,1
14849,10877,1
14849,1158,1
14849,6017,1
17875,10877,1
17875,1158,1
17875,6017,1
10877,1158,1
10877,6017,1
1158,6017,1
12157,2112,1
12157,275,1
18154,2112,1
18154,275,1
10908,275,1
2112,13402,3
2112,4887,1
2112,275,1
13402,4887,8
4887,275,1
5957,17600,1
5957,195,1
5957,2817,1
5957,18683,1
5957,117,1
5957,6647,1
17600,195,1
17600,2817,1
17600,8732,1
17600,18683,1
17600,117,1
17600,6647,1
195,2817,1
195,18683,1
195,117,1
195,6647,1
2817,8732,1
2817,18683,1
2817,117,1
2817,6647,1
8732,117,1
8732,6647,1
18683,117,1
18683,6647,1
117,6647,1
301,6055,1
301,12831,6
301,13251,2
9666,3723,3
9666,6055,1
3723,6055,1
3723,12831,1
3723,13251,1
6055,12831,1
6055,12907,1
6055,13251,1
12831,13251,1
2297,11799,2
2297,3099,1
13169,11799,3
13169,17355,2
13169,3099,2
11799,12983,1
11799,17355,1
11799,19298,1
12983,17355,2
12983,3099,1
17355,19298,3
17355,3099,1
19298,3099,1
17708,1229,37
18536,1327,1
18536,19298,4
18536,13230,1
3190,17492,1
10211,17492,1
123,17492,1
16676,15175,1
16676,7571,1
13418,15175,1
13418,7571,1
13418,4726,1
7035,15175,1
7035,7571,1
7035,4726,1
11938,15175,1
17708,15175,1
17708,7571,1
12495,15175,2
12495,4726,3
15175,7571,1
15175,4726,1
7571,4726,1
8982,9305,1
8982,17830,1
5255,5567,5
5255,18107,1
5255,9305,2
5255,17830,1
9820,17830,1
4235,9305,7
437,5567,4
437,18107,1
437,9305,1
437,17830,1
15917,123,3
15917,5567,2
15917,18107,1
15917,9305,1
15917,17830,1
13009,3190,6
13009,123,5
13009,5567,2
13009,18107,1
13009,9305,1
13009,17830,1
3190,18107,1
3190,9305,2
3190,17830,1
123,18107,1
123,17830,1
5567,18107,1
5567,9305,1
5567,17830,1
18107,9305,1
18107,17830,1
18107,1784,15
4416,9305,1
4416,17830,1
9305,17830,1
5252,571,2
5252,18880,1
571,10054,1
571,18880,1
571,1080,1
9666,18880,1
9666,1080,2
13501,10054,2
13501,18880,1
13501,1080,1
10054,18880,1
18880,1080,1
6392,574,2
6392,18516,4
6392,11484,8
6392,7849,3
12907,574,1
12907,3494,1
12907,18516,1
12907,11918,1
12907,12195,1
12907,9750,1
12907,11484,1
12907,7849,1
12907,4834,1
574,3494,1
574,18516,1
574,11918,1
574,12195,1
574,9750,1
574,12801,2
574,11484,1
574,7849,1
574,4834,1
3494,18516,2
3494,11918,1
3494,12195,2
3494,11484,5
3494,7849,3
18516,11918,1
18516,12195,2
18516,11484,2
18516,7849,1
18516,4834,1
11918,12195,1
11918,9750,1
11918,12801,5
11918,11484,1
11918,7849,1
11918,4834,1
12195,12801,7
12195,7849,1
12195,4834,2
9750,11484,7
9750,4834,3
12801,11484,9
12801,7849,5
11484,7849,4
11484,4834,2
7849,4834,2
8060,16438,3
8060,7554,1
16438,7554,1
18079,12300,1
303,10556,1
303,12300,1
303,1504,2
10556,12300,1
10556,2732,1
12300,2732,2
12300,16893,3
5910,17085,1
5910,1327,5
5910,319,1
5910,6054,1
5910,13014,1
5910,12983,13
17085,1327,1
17085,9666,1
17085,319,1
17085,6054,1
17085,13014,1
12907,6054,1
12907,13014,1
1327,319,1
1327,6054,1
1327,13014,1
1327,12983,9
9666,319,1
9666,6054,1
9666,13014,1
319,6054,1
319,13014,1
319,12983,2
6054,13014,1
6054,12983,1
13014,12983,1
19298,5634,4
2980,5634,1
1420,5634,1
8013,5634,2
3807,12186,1
3807,14298,1
3807,12495,1
3807,15227,1
3807,15104,1
3807,8572,1
3807,11169,1
3807,7518,1
3807,6926,1
12186,14298,1
12186,12495,1
12186,15227,1
12186,15104,1
12186,8572,1
12186,11169,1
12186,7518,1
12186,6926,1
14298,12495,1
14298,15104,1
14298,8572,1
14298,11169,1
14298,7518,1
14298,6926,1
12495,15104,1
12495,8572,1
12495,11169,1
15227,15104,1
15227,8572,1
15227,11169,1
15104,8572,1
15104,11169,1
15104,7518,1
15104,6926,1
8572,11169,1
8572,7518,1
8572,6926,1
11169,7518,1
11169,6926,1
7518,6926,3
9874,15565,1
15565,4191,1
13230,3265,2
13230,5236,1
13230,9888,1
13230,12541,1
3265,5236,1
3265,9888,1
3265,12541,1
9888,12541,1
14599,9666,30
14599,3058,1
14599,18151,1
14599,8907,1
14599,7737,1
14599,16303,1
14599,12904,1
9666,3058,1
9666,18151,1
9666,8907,2
9666,12904,3
13830,3058,1
13830,18151,1
13830,8907,1
13830,7737,2
13830,16303,1
13830,12904,1
3058,18151,1
3058,8907,1
3058,7737,1
3058,16303,1
3058,15222,1
3058,12904,1
18151,8907,1
18151,7737,1
18151,16303,1
18151,15222,1
18151,12904,1
8907,7737,1
8907,16303,1
8907,15222,1
7737,16303,1
7737,15222,1
7737,12904,1
16303,15222,1
16303,12904,1
15222,12904,2
1327,12750,1
1327,1650,1
15589,1179,5
15589,3265,1
15589,12750,1
15589,1650,1
15589,13357,3
1179,3265,1
1179,12750,1
1179,1650,1
1179,12983,1
1179,13357,1
3265,12750,1
3265,1650,1
3265,13357,1
12750,1650,1
12750,12983,1
12750,13357,1
1650,13357,1
153,12831,2
12831,7108,1
608,9804,1
608,4931,1
608,15950,1
608,16694,1
9804,4931,6
9804,14644,1
9804,16694,1
4931,14644,1
4931,16694,1
15950,16694,1
14644,16694,1
5862,17824,1
5862,15955,1
8932,17824,1
8932,15955,1
17824,15955,1
4861,15222,45
4861,19161,10
291,15222,9
291,19011,6
5890,15222,3
5890,19011,4
15222,19161,3
19336,19011,20
19161,19011,8
12495,7546,1
12495,1660,1
12495,6546,1
7546,1660,1
7546,6546,1
1660,6546,1
13169,9118,1
13169,4642,1
9118,4642,1
13169,16314,1
13169,19329,1
13169,7202,1
13169,13700,1
13169,5274,1
13169,4937,1
13169,2486,1
13169,8937,1
13169,11478,1
13169,13826,1
13169,10244,1
13169,4349,1
16314,19329,1
16314,7202,1
16314,13700,1
16314,5274,1
16314,4937,1
16314,2486,1
16314,8937,1
16314,11478,1
16314,13826,1
16314,10244,1
16314,4349,1
19329,7202,1
19329,13700,1
19329,5274,1
19329,4937,1
19329,2486,1
19329,8937,1
19329,11478,1
19329,13826,1
19329,10244,1
19329,4349,1
7202,13700,1
7202,5274,1
7202,4937,1
7202,2486,1
7202,8937,1
7202,11478,1
7202,13826,1
7202,10244,1
7202,4349,1
13700,5274,1
13700,4937,1
13700,2486,1
13700,8937,1
13700,11478,1
13700,13826,1
13700,10244,1
13700,4349,1
5274,4937,1
5274,2486,1
5274,8937,1
5274,11478,1
5274,13826,1
5274,10244,1
5274,4349,1
4937,2486,1
4937,8937,1
4937,11478,1
4937,13826,1
4937,10244,1
4937,4349,1
2486,8937,1
2486,11478,1
2486,13826,1
2486,10244,1
2486,4349,1
8937,11478,1
8937,13826,1
8937,10244,1
8937,4349,1
11478,13826,1
11478,10244,1
11478,4349,1
13826,10244,1
13826,4349,1
10244,4349,1
13169,5403,1
13169,15410,1
5403,15410,1
13169,14182,1
13169,11090,1
14182,11090,1
13169,10766,1
13169,9193,1
10766,9193,1
2227,20,4
2227,12346,1
2227,291,2
2999,20,2
2999,12346,1
2999,291,2
5620,12346,1
8153,20,9
8153,12346,1
8153,291,1
8153,19336,11
20,12346,1
20,14428,1
20,6111,3
20,19336,4
12346,14428,1
12346,291,1
12346,6111,1
12346,19336,1
14428,291,2
5119,8732,1
5119,9666,1
9790,17847,1
9790,8396,2
17847,8396,1
17847,18144,1
17847,10260,1
17847,18439,1
17847,7053,1
10260,18439,2
8732,17839,2
8732,3272,1
8732,6671,1
17839,3272,1
17839,6671,1
17839,18804,1
17839,10323,1
3272,6671,1
3272,18804,1
3272,10323,1
6671,18804,1
6671,10323,1
18804,10323,2
14484,5118,1
14484,394,1
14484,7264,1
14484,14429,1
14484,9211,1
14484,6802,1
5118,394,1
5118,7264,1
5118,14429,1
5118,9211,1
5118,6802,1
394,7264,1
394,14429,1
394,9211,1
394,6802,1
7264,14429,1
7264,9211,1
7264,6802,1
14429,9211,1
14429,6802,1
9211,6802,1
8655,4918,1
4918,3771,1
4918,18950,1
4918,9666,1
3771,18950,1
3771,9666,2
4524,7867,2
4524,4924,1
4524,5035,2
4524,12893,2
4524,18920,2
4524,17086,1
4524,15747,2
4524,946,2
4524,13169,1
4524,19086,1
4524,2415,1
4524,1273,1
7867,12893,2
7867,17086,1
7867,13169,9
7867,19086,2
7867,2415,1
7867,1273,1
4924,5035,1
4924,12893,1
4924,18920,1
4924,17086,1
4924,946,1
4924,13169,1
4924,19086,1
4924,2415,1
4924,1273,1
5035,12893,2
5035,17086,3
5035,946,3
5035,13169,2
5035,19086,2
5035,2415,1
5035,1273,1
12893,17086,1
12893,13169,1
12893,19086,1
12893,2415,1
12893,1273,1
18920,17086,1
18920,946,4
18920,19086,2
18920,2415,1
18920,1273,1
17086,15747,1
17086,946,3
17086,19086,1
17086,2415,5
17086,1273,1
15747,946,3
15747,19086,2
15747,2415,1
15747,1273,1
946,1273,1
13169,19086,1
13169,2415,1
13169,1273,1
19086,2415,1
19086,1273,1
2415,1273,1
9666,2498,1
9666,12712,1
13357,2498,1
13357,12712,1
2498,946,1
2498,12712,1
946,12712,1
13169,8457,1
13169,5411,1
8457,5411,1
9666,11501,1
9666,13997,20
1504,16762,2
1504,11501,2
11298,16762,1
11298,17043,5
11298,11501,1
11298,13997,5
11298,15222,15
16762,17086,1
16762,17043,2
16762,11501,1
16762,13997,1
17086,11501,1
11501,13997,2
11501,15222,2
2501,18959,1
2501,17616,1
2501,19092,1
2501,6455,1
2501,5755,1
18959,17616,1
18959,19092,1
18959,6455,1
18959,5755,1
18959,853,1
17616,19092,1
17616,6455,1
17616,5755,1
17616,853,1
19092,6455,1
19092,5755,1
19092,853,1
6455,5755,1
6455,853,1
5755,853,1
5620,13612,1
15222,17198,19
15222,13612,2
5850,871,1
5850,14415,1
5850,17198,2
5850,13612,1
5850,1784,4
5850,10334,1
871,14415,15
871,13612,1
14415,17198,3
14415,13612,1
17198,13612,1
13612,1784,1
13612,10334,1
2393,3603,1
2393,14948,1
3603,14948,1
7950,14948,1
18111,4222,1
18111,4779,1
18111,507,1
18111,4165,1
13658,4222,1
13658,4779,1
13658,507,1
13658,4165,1
10526,4222,1
10526,4779,1
10526,507,1
10526,4165,1
4222,4779,1
4222,507,1
4222,8719,1
4222,4165,1
4779,507,1
4779,8719,1
4779,4165,1
507,8719,1
507,4165,1
9329,5255,2
9329,11415,3
9329,3112,1
9329,1411,1
9329,437,4
9329,9796,2
2089,19213,1
2089,5255,1
2089,11415,3
2089,3112,1
2089,1411,1
2089,9796,1
19213,5255,1
19213,11415,1
19213,3112,1
19213,1411,1
19213,437,1
19213,9796,1
5255,11415,1
5255,3112,1
5255,1411,1
11415,3112,1
11415,1411,1
11415,437,1
11415,9796,1
3112,1411,1
3112,437,1
3112,9796,1
1411,437,1
1411,9796,1
7366,18463,2
7366,6205,1
18820,18463,2
18820,6205,1
1668,9563,2
1668,18463,2
1668,18383,2
9563,18383,8
9563,6205,1
18463,6205,1
18383,6205,1
4235,1523,1
4235,12296,1
4429,17452,4
4429,1523,1
4429,12296,1
12150,17452,1
12150,5029,1
12150,4416,1
12150,16893,1
12150,1523,1
12150,12296,1
12150,13503,1
12150,13728,3
12150,18464,1
17452,7125,1
17452,1523,1
17452,12296,1
17452,13728,7
17452,18464,2
5029,7125,1
5029,1523,1
5029,12296,1
4416,7125,1
4416,1523,1
4416,12296,1
19365,1523,1
19365,12296,1
19365,13503,1
19365,13728,3
19365,18464,1
7125,16893,1
7125,1523,1
7125,12296,1
7125,13503,1
7125,13728,2
7125,18464,1
16893,1523,1
16893,12296,1
16893,13503,1
1523,12296,1
1523,13503,1
1523,13728,1
1523,18464,1
12296,13503,1
12296,13728,1
12296,18464,1
13503,13728,1
13503,18464,1
13728,18464,1
1784,11022,1
3014,11845,4
3014,5426,3
3014,11022,1
7479,11845,3
7479,5426,1
7479,11022,1
7479,4235,3
11845,5426,2
11845,11022,1
5426,11022,1
11022,9820,1
11022,4235,1
2501,2522,13
2501,14652,3
2501,15227,8
2522,14652,2
2522,654,1
5863,14652,2
5863,15227,3
5863,654,5
14652,15227,2
14652,654,1
10100,2392,2
11357,2392,2
15227,2392,1
17259,2392,1
3447,2392,1
3447,12002,2
1504,2392,3
1504,8277,2
1504,16824,1
1504,13503,1
1504,12002,1
1504,17452,1
2392,4416,5
2392,8277,2
2392,16824,2
2392,13503,2
2392,12002,2
2392,17452,2
1784,13503,41
1784,12002,19
13503,17452,37
12002,9666,10
12002,17452,12
5664,1321,1
5664,9666,2
5664,12907,1
5664,19261,1
5664,913,1
1321,19261,1
9666,19261,1
12907,19261,1
19261,913,1
1135,3577,1
1135,1734,1
1135,1229,1
1135,4931,1
1135,13357,1
5814,3577,1
5814,1734,5
5814,1229,1
5814,4931,1
5814,13357,2
3131,13830,11
3131,3577,1
3131,1734,1
3131,1229,1
3131,4931,1
3131,13357,1
13830,12907,1
13830,1734,1
13830,1229,1
3577,1734,1
3577,4931,1
3577,13357,6
1734,1229,2
1734,4931,1
1734,13357,2
19365,4235,9
19365,4429,4
19365,1038,2
19365,15556,1
19365,12570,1
19365,1784,2
19365,19161,1
7125,4235,3
7125,4429,3
7125,9666,1
7125,1038,1
7125,15556,1
7125,12570,1
7125,1784,1
7125,19161,1
4235,12570,1
13728,1038,3
13728,15556,2
13728,12570,2
13728,19161,1
4429,1038,1
4429,12570,2
4429,19161,2
9666,12570,1
1038,15556,1
1038,12570,1
1038,19161,1
15556,12570,2
15556,19161,2
12570,1784,1
12570,19161,1
19191,6844,6
9666,15752,7
9666,18687,9
15752,18687,13
15752,3735,2
18687,3735,2
13946,3735,2
4573,5910,6
5910,19011,8
15222,11301,1
195,13997,1
195,19011,4
195,9666,15
13997,11301,1
13997,20,9
11301,19011,3
11301,20,3
11301,9666,5
19011,9666,16
6992,8521,1
6992,1839,2
8521,1839,1
2716,10815,2
2716,14057,2
10235,10815,2
10235,14057,1
3146,10815,2
3146,14057,2
10815,14057,1
10815,4235,1
15850,7777,1
15850,17606,1
15850,12027,1
15850,4087,1
15850,1637,1
7777,12027,2
7777,4087,1
7777,1637,1
17606,4087,1
17606,1637,1
12027,4087,1
12027,1637,1
4087,1637,1
9666,2406,14
5029,2406,75
13334,2406,2
4416,2406,15
4710,2406,3
17328,12831,1
17328,566,1
17328,18107,1
9666,566,9
12983,566,4
12831,566,1
12831,18107,1
10235,17452,3
12801,9750,9
4344,9750,1
4344,7849,1
9750,11240,1
11484,11240,1
11240,7849,1
13360,4429,1
13360,8719,4
13360,13314,4
13360,13728,1
13360,8201,2
13360,1810,1
13360,5710,4
13360,12097,1
4429,13314,1
4429,8201,1
4429,1810,1
4429,5710,1
8719,8201,2
8719,1810,1
13314,13728,1
13314,8201,2
13314,1810,1
13314,5710,4
13314,12097,1
13728,8201,1
13728,1810,1
13728,5710,1
8201,1810,1
8201,12097,1
1810,5710,1
1810,12097,1
5710,12097,1
1229,10848,1
1229,17650,1
1229,8237,1
1229,14317,3
1229,17920,1
1229,6876,1
10848,17650,5
10848,17920,1
10848,6876,1
9666,17650,3
9666,6876,1
17650,8237,2
17650,17920,1
17650,6876,1
8237,14317,1
8237,17920,1
8237,6876,1
14317,17920,2
14317,6876,1
17920,6876,1
2827,14572,1
2827,15815,1
14572,15815,1
19298,15815,3
453,15917,12
453,7566,2
453,14485,1
453,14828,1
453,16935,1
15917,7566,2
15917,14485,1
15917,14828,1
15917,16935,1
15925,18662,1
15925,7566,1
15925,14485,1
15925,14828,1
15925,16935,1
15925,13009,1
18662,14485,1
18662,14828,1
18662,16935,1
7566,14485,1
7566,13009,1
14485,14828,1
14485,16935,1
14485,13009,1
14828,16935,2
14828,13009,1
16935,13009,1
9329,18145,1
9329,2246,3
9329,16815,1
9329,4572,1
9329,13951,2
18145,18402,1
18145,2246,1
18145,16815,1
18145,4572,1
18145,9069,1
18145,13951,1
18402,2246,1
18402,16815,1
18402,4572,1
18402,13951,2
2246,4572,1
2246,9069,1
2246,13951,1
16815,4572,1
16815,9069,1
16815,13951,1
4572,1784,1
4572,9069,1
4572,13951,1
1784,9069,1
1784,13951,1
9069,13951,1
14079,15255,1
14079,7569,1
14079,710,1
14079,2127,2
14079,3889,1
15272,15255,2
15272,15222,3
15272,7569,1
15272,710,1
15272,18418,1
15272,2127,1
15255,15222,3
15255,7569,1
15255,710,1
15255,18418,1
15255,2127,1
15222,7569,1
15222,710,1
15222,18418,2
15222,2127,1
7569,18418,2
7569,2127,1
7569,3889,1
710,18418,1
710,2127,1
710,3889,1
18418,2127,2
18418,3889,1
2127,3889,1
8732,17123,2
8732,217,1
8732,1159,1
8732,1811,1
8732,12450,2
8732,4141,2
8732,15582,1
8732,12167,1
8732,4776,1
2269,4827,1
2269,17123,1
2269,217,1
2269,1159,1
2269,1811,1
2269,12450,1
2269,4141,1
2269,15582,1
2269,12167,1
2269,4776,1
4827,17123,2
4827,217,1
4827,1159,1
4827,1811,1
4827,12450,1
4827,4141,2
4827,15582,1
4827,12167,1
4827,4776,1
17123,217,1
17123,1159,1
17123,1811,1
17123,12450,1
17123,4141,2
17123,15582,1
17123,12167,1
17123,4776,1
217,1159,1
217,1811,1
217,12450,1
217,4141,1
217,15582,1
217,12167,1
217,4776,1
1159,1811,1
1159,12450,1
1159,4141,1
1159,15582,1
1159,12167,1
1159,4776,1
1811,12450,1
1811,4141,1
1811,15582,1
1811,12167,1
1811,4776,1
12450,4141,1
12450,15582,1
12450,12167,1
12450,4776,1
4141,15582,1
4141,12167,1
4141,4776,1
15582,12167,1
15582,4776,1
12167,4776,1
4235,17339,36
4235,10106,9
15227,15172,9
11357,615,2
10100,15172,11
10100,615,1
3447,15172,2
3447,12495,6
3447,615,1
17339,15172,2
17339,615,1
17259,15172,5
17259,615,1
4416,12495,14
4416,615,1
4416,12903,12
5029,10106,1
5029,12903,11
5029,12907,5
17452,16824,32
17452,615,2
17452,12903,16
8884,615,2
8884,12903,16
16824,12495,6
16824,615,1
16824,12903,8
15172,10106,1
15172,615,1
15172,12907,3
12495,615,1
12495,12903,6
10106,615,1
10106,12903,1
12903,12907,2
13471,15247,1
13471,7789,2
13471,4931,1
13471,9666,1
13471,7867,1
13471,14572,1
13471,7987,1
