#A,B,Weight
3945,5173,1
3945,8710,1
3945,6803,1
5173,8710,1
5173,6803,1
8710,6803,1
3271,13548,1
3271,5632,2
3271,510,1
3271,9804,1
13548,5632,1
13548,510,1
13548,9804,1
5632,510,2
5632,9804,1
5632,19298,1
510,9804,1
510,19298,1
9666,18328,1
9666,3732,2
11845,18328,1
11845,3732,1
4504,13501,6
4504,18328,1
4504,3732,1
4504,16679,1
13501,18328,1
13501,3732,1
18328,3732,1
18328,3735,1
18328,6685,1
18328,16679,1
3732,3735,1
3732,6685,1
3732,16679,1
6685,16679,5
2055,7334,1
2055,13259,2
2055,617,2
2055,437,1
2055,18415,2
2055,7929,1
7334,18415,1
7334,7929,1
7334,4861,1
13259,7929,1
13259,4861,1
617,7929,1
617,4861,1
437,7929,3
18415,7929,1
18415,4861,3
7929,4861,1
7777,16215,4
7777,1578,1
7777,824,3
9666,1578,1
16215,1578,1
13728,1578,1
1578,10211,1
1578,824,1
5620,19336,52
5620,2768,18
5620,14181,21
5620,16215,57
5620,17198,33
5620,2961,15
5620,15306,2
1784,19336,79
1784,2768,19
1784,14181,27
1784,16215,90
1784,17198,62
1784,2961,25
1784,15306,3
2768,15306,1
2768,2415,3
14181,2961,8
14181,18007,5
14181,8354,4
14181,15306,1
14181,2415,4
16215,8354,5
16215,15306,1
12476,17198,1
12476,2961,1
12476,18007,1
12476,8354,2
12476,15306,1
4235,15306,3
2961,18007,6
2961,8354,2
2961,2415,1
18007,8354,1
18007,15306,1
18007,2415,1
8354,15306,1
8354,2415,1
15306,2415,1
4573,1379,2
1504,6491,1
18498,6491,1
6491,1379,1
6491,6111,1
7759,13728,2
7759,3555,1
7759,5739,1
7759,9469,1
7759,9006,1
12490,3555,1
12490,5739,1
12490,9469,1
12490,9006,1
10211,13728,195
10211,5739,1
10211,9469,1
10211,9006,1
13728,5739,1
13728,9469,1
13728,9006,1
3555,5739,1
3555,9469,1
3555,9006,1
5739,9469,1
5739,9006,1
9469,9006,1
9666,11357,193
12907,11357,50
9666,8778,3
9666,15275,4
8656,8778,2
8656,15275,4
8656,16417,10
8656,1110,1
15053,8778,2
15053,15275,1
15053,16417,3
15053,1110,1
8778,15275,1
8778,16417,2
8778,17708,1
8778,1110,1
15275,16417,1
15275,17708,1
15275,1110,1
16417,1110,1
17708,1110,2
12983,6080,1
19338,12620,1
19338,6080,1
12620,6080,1
12620,7897,1
12620,913,1
6080,7897,1
6080,913,1
7897,913,1
14531,18363,1
14531,8059,2
14531,9338,1
14531,13037,2
14531,11393,1
14531,845,1
17362,18363,1
17362,8059,2
17362,9338,1
17362,13037,1
17362,11393,1
17362,845,1
18363,8059,1
18363,9338,1
18363,13037,1
18363,11393,1
18363,845,1
18363,19298,1
8059,9338,1
8059,13037,1
8059,11393,1
8059,845,1
8059,19298,1
9338,13037,1
9338,11393,1
9338,845,1
9338,19298,1
13037,11393,1
13037,845,1
13037,19298,1
11393,845,1
11393,19298,1
845,19298,1
2553,7777,1
2553,9666,1
2553,11605,1
2553,12541,1
2553,12983,1
2553,11610,1
7777,11605,2
7777,12541,1
7777,12983,6
7777,11610,1
9666,11605,11
9666,11610,2
11605,12541,1
11605,11610,1
12541,11610,1
879,17355,1
879,6111,1
879,1504,1
879,13728,1
879,13727,1
17355,6111,1
17355,13727,1
6111,1504,32
6111,13728,2
6111,13727,1
1504,13727,1
1666,17007,1
1666,5516,2
1666,16417,27
8714,17007,1
8714,5516,2
1229,17007,1
1229,5516,1
1229,16417,12
9666,17007,1
13402,17007,1
13402,5516,2
17007,5516,1
17007,16417,1
5516,16417,2
11544,9405,1
11544,2002,1
11544,13395,1
9820,9405,1
9820,2002,1
9820,13395,1
9820,11900,1
9405,1207,3
9405,2002,3
9405,13395,1
9405,12312,2
9405,11900,1
1207,13395,1
2002,13395,1
2002,12312,5
2002,11900,1
13395,12312,1
13395,11900,1
19338,4868,4
19063,1504,5
19063,7897,8
1504,7897,2
8765,3556,2
4165,16215,2
4165,11465,3
4165,9176,1
4165,3556,2
16215,3556,2
7940,3556,3
11465,9176,3
9176,3556,1
12907,11697,1
12907,10105,1
12907,8054,1
12907,8503,1
12907,15366,1
6392,11697,2
6392,10105,9
6392,8054,7
6392,5350,5
6392,15366,5
11697,10105,1
11697,8054,1
11697,13851,2
11697,5350,1
11697,8503,1
11697,15366,1
10105,8054,1
10105,5350,1
10105,8503,1
10105,15366,3
8054,5350,1
8054,8503,1
8054,15366,1
13851,8503,3
13851,15366,4
5350,8503,1
5350,15366,1
8503,15366,1
15914,1772,1
15914,14482,1
15914,189,1
15914,16251,1
15914,8932,1
15914,17612,1
19298,1772,1
19298,14482,1
19298,189,1
19298,16251,1
1772,14482,1
1772,189,1
1772,16251,1
1772,8932,1
1772,17612,1
14482,189,1
14482,16251,1
14482,8932,1
14482,17612,1
189,16251,1
189,8932,1
189,17612,1
16251,8932,1
16251,17612,1
7867,11242,1
15702,4785,2
15702,10084,5
15702,11242,1
5035,4785,2
5035,10084,3
5035,11242,1
4785,10084,1
4785,11242,1
10084,11242,1
1784,11242,1
8477,17223,1
17223,9666,2
17223,19298,1
12829,16429,1
12829,12416,4
12829,16154,2
16429,12416,1
16429,16154,1
16429,12907,1
16429,9666,1
16429,7931,1
12416,10211,1
12416,16154,1
12416,12907,2
12416,7931,1
10211,9666,86
12907,7931,98
9666,7931,255
12907,2089,25
6144,4845,2
2089,1400,4
2089,4845,9
13851,1400,5
14813,15527,1
14813,14287,1
14813,9292,1
7777,15527,1
7777,14287,2
7777,9292,1
15527,14287,1
15527,9292,1
14287,9292,1
15649,5129,1
15649,9337,1
15649,11649,1
5129,9337,1
5129,11649,1
9337,11649,1
5533,19128,1
5533,10736,1
5533,13728,1
5533,5742,1
5533,8053,1
5533,11438,1
10736,8053,1
10736,11438,1
10736,4191,1
13728,11438,1
13728,4191,2
8132,11395,1
8132,46,1
8132,18798,1
8132,14390,1
8132,17894,1
8132,10211,1
8132,13728,1
8132,3190,1
11395,46,1
11395,18798,1
11395,5029,1
11395,14390,1
11395,17894,1
11395,10211,1
11395,13728,1
11395,3190,1
46,18798,1
46,5029,1
46,14390,1
46,17894,1
46,10211,1
46,13728,1
46,3190,1
5029,14390,1
14390,17894,1
14390,13728,1
14390,3190,2
3940,13084,1
3940,888,1
3940,291,1
3940,17083,1
3940,12112,1
9004,888,1
9004,291,1
9004,17083,1
9004,12112,1
13084,888,1
13084,291,1
13084,17083,1
13084,12112,1
888,291,1
888,17083,1
291,17083,1
291,12112,1
17083,12112,3
8649,1779,1
8649,5216,1
8649,2684,1
1779,5216,1
1779,2684,1
13187,18505,1
13187,8383,4
18505,571,1
18505,8383,1
18505,3248,1
18505,5070,1
8383,4235,45
4235,3248,1
3248,5070,2
3076,10478,1
3076,3583,1
10478,5252,1
10478,3583,2
9666,5252,208
9666,3583,48
15227,9666,224
15227,7931,34
15227,12907,38
15227,11357,134
15227,7518,24
15227,17339,84
4160,4861,10
9666,7518,49
7931,11357,30
7931,7518,25
12907,7518,14
11357,4861,9
12495,4861,27
17606,13900,2
17606,2279,1
17606,13464,1
13900,2279,1
13900,13464,1
2279,13464,1
15917,3066,1
15917,5882,2
15917,7866,1
15917,16131,2
15917,14346,2
3190,5882,2
3190,10211,266
3190,16131,3
3190,14346,1
3066,5882,1
3066,7866,1
3066,16131,3
3066,14346,1
5882,10211,1
5882,16131,1
5882,14346,1
10211,16131,1
10211,14346,1
7866,16131,1
7866,14346,1
16131,14346,1
17600,17355,1
17600,15649,1
17600,6454,1
17600,17366,1
17600,4739,1
17600,10477,1
17355,6454,1
17355,17366,1
17355,4739,1
17355,10477,1
15649,17366,1
15649,4739,1
15649,10477,1
6454,17366,1
6454,4739,1
6454,10477,1
17366,4739,1
17366,10477,1
4739,10477,1
3014,9820,811
7198,15889,1
7198,10211,1
7198,3917,1
7198,5236,1
7198,19128,1
7198,437,1
7198,5255,1
7198,9666,1
7198,13357,1
15889,10211,1
15889,3917,1
15889,5236,1
15889,19128,1
15889,437,1
15889,5255,1
15889,9666,2
15889,13357,1
10211,3917,2
3917,5236,1
3917,19128,1
3917,437,1
3917,5255,1
3917,9666,1
3917,13357,1
5236,19128,1
437,5255,208
5255,13357,6
19298,4683,3
15950,4683,1
3254,13024,1
3254,12443,1
3254,3512,1
3254,15222,2
3512,15222,58
15227,291,3
12495,11357,42
12495,4160,27
12495,9666,148
12495,15520,51
11357,4160,26
11357,291,2
1504,10106,3
17259,291,2
17259,4861,6
10106,4861,8
12744,8383,1
8012,8383,2
195,3190,1
195,13728,1
195,5255,1
195,437,1
195,10211,1
3190,13728,177
3190,8972,2
13728,8972,1
5255,10211,114
5255,8972,1
437,10211,173
437,8972,1
10211,8972,2
8732,13689,1
8732,9308,1
8732,3928,1
8732,624,1
8732,37,2
8732,12089,2
8732,8579,1
8732,17335,1
8732,9618,1
8732,5467,1
13689,9308,1
13689,3928,1
13689,624,1
13689,37,1
13689,12089,1
13689,8579,1
13689,17335,1
13689,9618,1
13689,5467,1
9308,3928,1
9308,624,1
9308,37,1
9308,12089,1
9308,8579,1
9308,17335,1
9308,9618,1
9308,5467,1
3928,624,1
3928,37,1
3928,12089,1
3928,8579,1
3928,17335,1
3928,9618,1
3928,5467,1
624,37,1
624,12089,1
624,8579,1
624,17335,1
624,9618,1
624,5467,1
37,8579,1
37,17335,1
37,9618,1
37,5467,1
12089,8579,1
12089,17335,1
12089,9618,1
12089,5467,1
8579,17335,1
8579,9618,1
8579,5467,1
17335,9618,1
17335,5467,1
9618,5467,1
8732,2119,1
8732,11856,1
8732,1420,2
19298,8477,44
8732,16856,1
8732,19227,2
8732,15503,1
16856,19227,1
16856,15503,1
19227,15503,1
17708,5326,1
17708,19301,1
17783,313,1
17783,5326,1
17783,19301,6
17783,505,1
17783,4977,1
313,5326,1
313,19301,1
313,19039,4
313,505,1
313,4977,1
5944,5326,1
5944,19301,5
5944,19039,5
5944,4977,1
11658,5326,1
11658,19039,5
11658,505,2
11658,4977,1
5326,19301,1
5326,19039,1
5326,505,1
5326,4977,1
19301,19039,1
19301,505,1
19301,4977,1
19039,505,1
19039,4977,1
505,4977,1
7759,17355,3
7759,7583,1
828,17355,3
828,7583,1
828,17703,1
828,12983,6
17355,7583,1
17355,17703,1
7583,17703,1
7583,12983,1
17703,12983,1
15222,13024,38
3512,13997,14
3512,11298,6
3512,1504,34
3512,13024,44
13997,1504,34
13997,1507,1
11298,1504,17
11298,1507,1
1504,1507,2
2246,1504,14
301,16893,3
301,2732,7
1831,17245,1
1472,4394,1
1472,13169,1
1472,2297,1
1472,8053,1
1472,1958,1
4394,13169,1
4394,2297,1
4394,8053,1
4394,1958,1
13169,8053,2
13169,1958,1
2297,8053,2
2297,1958,1
8053,1958,1
828,4429,2
828,15613,1
828,1224,1
828,3628,2
828,8194,4
828,2063,3
828,2672,1
4429,15613,1
4429,1224,1
4429,3628,1
4429,8194,1
4429,2063,1
4429,2672,1
15613,1224,1
15613,3628,1
15613,8194,1
15613,2063,1
15613,2672,1
1224,3628,1
1224,8194,1
1224,2063,1
1224,2672,1
3628,8194,1
3628,2063,1
3628,2672,1
8194,2063,1
8194,2672,1
2063,2672,1
8732,14963,1
8732,14712,1
8732,8606,1
14963,14712,1
14963,8606,1
14712,8606,1
12620,4405,1
12620,14028,1
12620,1656,1
12620,6323,1
12620,763,1
12620,13049,1
12620,15930,1
12620,9951,1
12620,16067,3
12620,7007,3
12620,17015,2
4405,14028,1
4405,1656,1
4405,6323,1
4405,763,1
4405,13049,1
4405,15930,1
4405,9951,1
4405,2339,1
4405,16067,1
4405,7007,1
4405,17015,1
14028,1656,1
14028,6323,1
14028,763,1
14028,13049,1
14028,15930,1
14028,9951,1
14028,2339,1
14028,16067,1
14028,7007,1
14028,17015,1
1656,6323,1
1656,763,1
1656,13049,1
1656,15930,1
1656,9951,1
1656,2339,1
1656,16067,1
1656,7007,1
1656,17015,1
6323,763,1
6323,13049,1
6323,15930,1
6323,9951,1
6323,2339,1
6323,16067,1
6323,7007,1
6323,17015,1
763,13049,1
763,15930,1
763,9951,1
763,2339,1
763,16067,1
763,7007,1
763,17015,1
13049,15930,1
13049,9951,1
13049,16067,1
13049,7007,1
13049,17015,1
15930,9951,1
15930,2339,1
15930,16067,1
15930,7007,1
15930,17015,1
9951,2339,1
9951,16067,1
9951,7007,1
9951,17015,1
2339,17015,5
16067,17015,2
17606,9519,2
14599,7940,3
14599,9519,2
14599,17277,8
10329,9519,2
10329,17277,1
10329,18798,1
7940,9519,2
9519,17277,1
9519,18798,1
17277,18798,14
2501,6427,1
2501,17215,1
6427,17215,1
9666,7777,116
9666,17777,1
9666,6379,1
7777,17777,1
7777,6379,1
14599,17777,6
14599,6379,1
17777,6379,1
2813,8396,1
2813,14957,1
2813,6115,1
8396,14957,1
8396,6115,1
14957,3940,1
14957,6115,1
3940,6115,1
9666,9284,1
7777,9284,1
2501,6592,1
2501,2733,1
2501,18517,1
2501,158,1
6592,2733,1
6592,18517,1
6592,158,1
2733,18517,1
2733,158,1
18517,158,1
4573,1399,1
4573,3447,3
4573,12443,3
4573,15414,2
4573,6893,3
4573,17043,7
4573,11384,2
4573,555,1
4573,7119,1
4573,1350,1
